date,studio,location,program,day,demand,group
2015-03-01,44717,4,fullbody,4,17.682926829268293,fullbody-4
2015-03-02,44717,4,fullbody,6,17.0,fullbody-4
2015-03-05,44717,4,fullbody,4,17.0,fullbody-4
2015-03-06,44717,4,fullbody,4,17.0,fullbody-4
2015-03-07,44717,4,fullbody,6,17.0,fullbody-4
2015-03-08,44717,4,fullbody,7,17.0,fullbody-4
2015-03-13,44717,4,fullbody,5,17.0,fullbody-4
2015-03-15,44717,4,fullbody,7,17.0,fullbody-4
2015-03-31,44717,4,fullbody,2,17.0,fullbody-4
2015-04-01,44717,4,fullbody,3,17.0,fullbody-4
2015-04-02,44717,4,fullbody,4,18.333333333333332,fullbody-4
2015-04-04,44717,4,fullbody,6,17.0,fullbody-4
2015-04-05,44717,4,fullbody,7,17.0,fullbody-4
2015-04-06,44717,4,fullbody,1,17.0,fullbody-4
2015-04-07,44717,4,fullbody,2,18.0,fullbody-4
2015-05-01,44717,4,fullbody,4,18.666666666666668,fullbody-4
2015-05-02,44717,4,fullbody,6,17.0,fullbody-4
2015-05-03,44717,4,fullbody,7,21.0,fullbody-4
2015-05-04,44717,4,fullbody,1,17.0,fullbody-4
2015-05-05,44717,4,fullbody,2,18.0,fullbody-4
2015-05-06,44717,4,fullbody,3,20.666666666666668,fullbody-4
2015-05-07,44717,4,fullbody,4,17.857142857142858,fullbody-4
2015-06-01,44717,4,fullbody,2,21.0,fullbody-4
2015-06-02,44717,4,fullbody,2,19.0,fullbody-4
2015-06-04,44717,4,fullbody,4,17.0,fullbody-4
2015-06-05,44717,4,fullbody,5,19.0,fullbody-4
2015-06-06,44717,4,fullbody,6,18.0,fullbody-4
2015-06-07,44717,4,fullbody,7,21.0,fullbody-4
2015-06-26,44717,4,fullbody,5,17.0,fullbody-4
2015-07-02,44717,4,fullbody,4,18.0,fullbody-4
2015-07-03,44717,4,fullbody,5,21.0,fullbody-4
2015-07-04,44717,4,fullbody,6,20.0,fullbody-4
2015-07-05,44717,4,fullbody,7,20.0,fullbody-4
2015-07-06,44717,4,fullbody,1,21.0,fullbody-4
2015-07-07,44717,4,fullbody,2,21.0,fullbody-4
2015-07-08,44717,4,fullbody,3,17.0,fullbody-4
2015-07-11,44717,4,fullbody,6,13.0,fullbody-4
2015-07-15,44717,4,fullbody,3,21.0,fullbody-4
2015-07-16,44717,4,fullbody,4,20.5,fullbody-4
2015-07-27,44717,4,fullbody,1,21.0,fullbody-4
2015-08-01,44717,4,fullbody,6,21.0,fullbody-4
2015-08-03,44717,4,fullbody,1,21.0,fullbody-4
2015-08-04,44717,4,fullbody,2,21.0,fullbody-4
2015-08-05,44717,4,fullbody,3,21.0,fullbody-4
2015-08-06,44717,4,fullbody,4,21.0,fullbody-4
2015-08-07,44717,4,fullbody,5,21.0,fullbody-4
2015-08-08,44717,4,fullbody,6,21.0,fullbody-4
2015-08-16,44717,4,fullbody,7,21.0,fullbody-4
2015-08-30,44717,4,fullbody,7,21.0,fullbody-4
2015-09-02,44717,4,fullbody,3,20.833333333333332,fullbody-4
2015-09-03,44717,4,fullbody,4,20.666666666666668,fullbody-4
2015-09-04,44717,4,fullbody,5,20.833333333333332,fullbody-4
2015-09-05,44717,4,fullbody,6,21.0,fullbody-4
2015-09-06,44717,4,fullbody,7,20.833333333333332,fullbody-4
2015-09-07,44717,4,fullbody,1,20.8,fullbody-4
2015-10-01,44717,4,fullbody,4,20.75,fullbody-4
2015-10-02,44717,4,fullbody,5,20.666666666666668,fullbody-4
2015-10-03,44717,4,fullbody,6,21.0,fullbody-4
2015-10-04,44717,4,fullbody,7,20.5,fullbody-4
2015-10-05,44717,4,fullbody,7,20.25,fullbody-4
2015-10-06,44717,4,fullbody,2,21.0,fullbody-4
2015-10-07,44717,4,fullbody,3,21.0,fullbody-4
2015-10-10,44717,4,fullbody,6,13.0,fullbody-4
2015-10-15,44717,4,fullbody,4,8.0,fullbody-4
2015-11-05,44717,4,fullbody,4,21.0,fullbody-4
2015-11-07,44717,4,fullbody,6,20.5,fullbody-4
2015-11-27,44717,4,fullbody,5,21.0,fullbody-4
2015-12-01,44717,4,fullbody,2,20.0,fullbody-4
2015-12-02,44717,4,fullbody,3,18.75,fullbody-4
2015-12-03,44717,4,fullbody,4,20.333333333333332,fullbody-4
2015-12-04,44717,4,fullbody,5,21.0,fullbody-4
2015-12-05,44717,4,fullbody,6,20.333333333333332,fullbody-4
2015-12-06,44717,4,fullbody,7,21.0,fullbody-4
2015-12-27,44717,4,fullbody,7,21.0,fullbody-4
2015-12-28,44717,4,fullbody,1,21.0,fullbody-4
2015-12-31,44717,4,fullbody,4,21.0,fullbody-4
2016-01-01,44717,4,fullbody,5,20.727272727272727,fullbody-4
2016-01-02,44717,4,fullbody,6,20.0,fullbody-4
2016-01-03,44717,4,fullbody,7,20.25,fullbody-4
2016-01-04,44717,4,fullbody,4,20.0,fullbody-4
2016-01-05,44717,4,fullbody,2,20.5,fullbody-4
2016-01-06,44717,4,fullbody,3,20.0,fullbody-4
2016-01-07,44717,4,fullbody,4,21.0,fullbody-4
2016-01-08,44717,4,fullbody,5,20.0,fullbody-4
2016-01-12,44717,4,fullbody,2,20.0,fullbody-4
2016-01-18,44717,4,fullbody,1,20.2,fullbody-4
2016-01-25,44717,4,fullbody,1,20.333333333333332,fullbody-4
2016-01-26,44717,4,fullbody,2,20.0,fullbody-4
2016-02-01,44717,4,fullbody,1,20.0,fullbody-4
2016-02-02,44717,4,fullbody,2,20.0,fullbody-4
2016-02-03,44717,4,fullbody,3,20.0,fullbody-4
2016-02-05,44717,4,fullbody,5,20.0,fullbody-4
2016-02-06,44717,4,fullbody,6,20.0,fullbody-4
2016-02-07,44717,4,fullbody,7,20.0,fullbody-4
2016-02-09,44717,4,fullbody,2,20.0,fullbody-4
2016-02-15,44717,4,fullbody,1,20.0,fullbody-4
2016-02-23,44717,4,fullbody,4,20.0,fullbody-4
2016-03-01,44717,4,fullbody,2,20.0,fullbody-4
2016-03-03,44717,4,fullbody,4,20.0,fullbody-4
2016-03-04,44717,4,fullbody,5,20.0,fullbody-4
2016-03-05,44717,4,fullbody,6,20.0,fullbody-4
2016-03-07,44717,4,fullbody,1,20.0,fullbody-4
2016-03-08,44717,4,fullbody,1,20.0,fullbody-4
2016-03-10,44717,4,fullbody,4,20.0,fullbody-4
2016-03-13,44717,4,fullbody,7,20.0,fullbody-4
2016-03-14,44717,4,fullbody,3,20.333333333333332,fullbody-4
2016-03-15,44717,4,fullbody,2,20.0,fullbody-4
2016-03-16,44717,4,fullbody,3,19.428571428571427,fullbody-4
2016-03-17,44717,4,fullbody,4,20.25,fullbody-4
2016-03-18,44717,4,fullbody,5,20.0,fullbody-4
2016-03-19,44717,4,fullbody,6,21.0,fullbody-4
2016-03-20,44717,4,fullbody,7,21.0,fullbody-4
2016-03-21,44717,4,fullbody,1,20.25,fullbody-4
2016-04-01,44717,4,fullbody,5,20.0,fullbody-4
2016-04-03,44717,4,fullbody,7,20.0,fullbody-4
2016-04-04,44717,4,fullbody,1,20.0,fullbody-4
2016-04-05,44717,4,fullbody,2,20.25,fullbody-4
2016-04-07,44717,4,fullbody,4,20.666666666666668,fullbody-4
2016-04-08,44717,4,fullbody,5,21.0,fullbody-4
2016-04-10,44717,4,fullbody,7,20.0,fullbody-4
2016-04-14,44717,4,fullbody,4,1.0,fullbody-4
2016-04-21,44717,4,fullbody,4,20.0,fullbody-4
2016-04-22,44717,4,fullbody,5,20.0,fullbody-4
2016-05-01,44717,4,fullbody,7,20.0,fullbody-4
2016-05-02,44717,4,fullbody,1,21.0,fullbody-4
2016-05-03,44717,4,fullbody,2,20.0,fullbody-4
2016-05-04,44717,4,fullbody,3,20.0,fullbody-4
2016-05-05,44717,4,fullbody,4,20.5,fullbody-4
2016-05-07,44717,4,fullbody,6,20.5,fullbody-4
2016-05-10,44717,4,fullbody,2,21.0,fullbody-4
2016-05-11,44717,4,fullbody,3,18.0,fullbody-4
2016-05-16,44717,4,fullbody,1,20.5,fullbody-4
2016-05-17,44717,4,fullbody,2,21.0,fullbody-4
2016-05-30,44717,4,fullbody,1,20.0,fullbody-4
2016-06-01,44717,4,fullbody,3,20.0,fullbody-4
2016-06-02,44717,4,fullbody,4,20.0,fullbody-4
2016-06-03,44717,4,fullbody,5,20.0,fullbody-4
2016-06-04,44717,4,fullbody,6,20.0,fullbody-4
2016-06-06,44717,4,fullbody,1,20.0,fullbody-4
2016-07-01,44717,4,fullbody,5,20.0,fullbody-4
2016-07-02,44717,4,fullbody,6,21.0,fullbody-4
2016-07-04,44717,4,fullbody,1,20.0,fullbody-4
2016-07-05,44717,4,fullbody,2,20.5,fullbody-4
2016-07-06,44717,4,fullbody,3,21.0,fullbody-4
2016-07-07,44717,4,fullbody,4,20.0,fullbody-4
2016-07-12,44717,4,fullbody,2,20.0,fullbody-4
2016-08-03,44717,4,fullbody,3,18.0,fullbody-4
2016-08-04,44717,4,fullbody,4,20.5,fullbody-4
2016-08-06,44717,4,fullbody,6,21.0,fullbody-4
2016-09-01,44717,4,fullbody,4,17.0,fullbody-4
2016-09-02,44717,4,fullbody,5,20.666666666666668,fullbody-4
2016-09-03,44717,4,fullbody,6,20.0,fullbody-4
2016-09-04,44717,4,fullbody,7,20.6,fullbody-4
2016-09-05,44717,4,fullbody,1,20.0,fullbody-4
2016-09-06,44717,4,fullbody,2,21.0,fullbody-4
2016-09-07,44717,4,fullbody,3,20.25,fullbody-4
2016-09-09,44717,4,fullbody,5,21.0,fullbody-4
2016-09-11,44717,4,fullbody,7,20.0,fullbody-4
2016-09-26,44717,4,fullbody,1,20.0,fullbody-4
2016-10-02,44717,4,fullbody,7,21.0,fullbody-4
2016-10-05,44717,4,fullbody,3,20.333333333333332,fullbody-4
2016-10-07,44717,4,fullbody,5,21.0,fullbody-4
2016-10-26,44717,4,fullbody,3,21.0,fullbody-4
2016-10-29,44717,4,fullbody,6,21.0,fullbody-4
2016-11-01,44717,4,fullbody,2,21.0,fullbody-4
2016-11-02,44717,4,fullbody,3,21.0,fullbody-4
2016-11-03,44717,4,fullbody,4,21.0,fullbody-4
2016-11-04,44717,4,fullbody,5,21.0,fullbody-4
2016-11-06,44717,4,fullbody,7,21.0,fullbody-4
2016-11-07,44717,4,fullbody,1,21.0,fullbody-4
2016-11-16,44717,4,fullbody,3,21.0,fullbody-4
2016-11-24,44717,4,fullbody,4,21.0,fullbody-4
2016-11-25,44717,4,fullbody,5,21.0,fullbody-4
2016-12-01,44717,4,fullbody,4,21.0,fullbody-4
2016-12-07,44717,4,fullbody,3,21.0,fullbody-4
2016-12-11,44717,4,fullbody,7,21.0,fullbody-4
2016-12-26,44717,4,fullbody,1,21.0,fullbody-4
2016-12-31,44717,4,fullbody,6,21.0,fullbody-4
2017-01-01,44717,4,fullbody,7,21.0,fullbody-4
2017-01-02,44717,4,fullbody,1,21.0,fullbody-4
2017-01-03,44717,4,fullbody,2,21.0,fullbody-4
2017-01-04,44717,4,fullbody,3,21.0,fullbody-4
2017-01-05,44717,4,fullbody,4,21.0,fullbody-4
2017-01-06,44717,4,fullbody,5,21.0,fullbody-4
2017-01-07,44717,4,fullbody,6,21.0,fullbody-4
2017-01-08,44717,4,fullbody,7,21.0,fullbody-4
2017-01-12,44717,4,fullbody,4,21.0,fullbody-4
2017-01-15,44717,4,fullbody,7,21.0,fullbody-4
2017-01-16,44717,4,fullbody,1,21.0,fullbody-4
2017-01-20,44717,4,fullbody,5,21.0,fullbody-4
2017-02-01,44717,4,fullbody,3,21.0,fullbody-4
2017-02-02,44717,4,fullbody,4,21.0,fullbody-4
2017-02-03,44717,4,fullbody,5,21.0,fullbody-4
2017-02-04,44717,4,fullbody,6,21.0,fullbody-4
2017-02-05,44717,4,fullbody,7,21.0,fullbody-4
2017-02-06,44717,4,fullbody,1,21.0,fullbody-4
2017-02-07,44717,4,fullbody,2,21.0,fullbody-4
2017-02-12,44717,4,fullbody,7,21.0,fullbody-4
2017-02-20,44717,4,fullbody,1,21.0,fullbody-4
2017-03-03,44717,4,fullbody,5,21.0,fullbody-4
2017-03-04,44717,4,fullbody,6,21.0,fullbody-4
2017-03-06,44717,4,fullbody,1,21.0,fullbody-4
2017-03-09,44717,4,fullbody,4,21.0,fullbody-4
2017-03-11,44717,4,fullbody,6,21.0,fullbody-4
2017-03-12,44717,4,fullbody,7,21.0,fullbody-4
2017-03-13,44717,4,fullbody,1,21.0,fullbody-4
2017-03-14,44717,4,fullbody,2,21.0,fullbody-4
2017-03-15,44717,4,fullbody,3,21.0,fullbody-4
2017-03-16,44717,4,fullbody,4,21.0,fullbody-4
2017-03-17,44717,4,fullbody,5,21.0,fullbody-4
2017-03-18,44717,4,fullbody,6,21.0,fullbody-4
2017-03-19,44717,4,fullbody,7,21.0,fullbody-4
2017-03-21,44717,4,fullbody,2,21.0,fullbody-4
2017-03-22,44717,4,fullbody,3,21.0,fullbody-4
2017-03-23,44717,4,fullbody,4,21.0,fullbody-4
2017-03-26,44717,4,fullbody,7,21.0,fullbody-4
2017-03-27,44717,4,fullbody,1,21.0,fullbody-4
2017-03-30,44717,4,fullbody,4,21.0,fullbody-4
2017-04-01,44717,4,fullbody,6,21.0,fullbody-4
2017-04-02,44717,4,fullbody,7,21.0,fullbody-4
2017-04-03,44717,4,fullbody,1,21.0,fullbody-4
2017-04-07,44717,4,fullbody,5,21.0,fullbody-4
2017-04-24,44717,4,fullbody,1,21.0,fullbody-4
2017-05-01,44717,4,fullbody,1,21.0,fullbody-4
2017-05-02,44717,4,fullbody,2,21.0,fullbody-4
2017-05-04,44717,4,fullbody,4,21.0,fullbody-4
2017-05-06,44717,4,fullbody,6,21.0,fullbody-4
2017-05-07,44717,4,fullbody,7,21.0,fullbody-4
2017-05-09,44717,4,fullbody,2,21.0,fullbody-4
2017-05-17,44717,4,fullbody,3,21.0,fullbody-4
2017-05-18,44717,4,fullbody,4,21.0,fullbody-4
2017-05-19,44717,4,fullbody,5,21.0,fullbody-4
2017-05-29,44717,4,fullbody,1,21.0,fullbody-4
2017-06-01,44717,4,fullbody,4,21.0,fullbody-4
2017-06-02,44717,4,fullbody,5,21.0,fullbody-4
2017-06-03,44717,4,fullbody,6,14.5,fullbody-4
2017-06-05,44717,4,fullbody,1,21.0,fullbody-4
2017-06-07,44717,4,fullbody,3,21.0,fullbody-4
2017-06-09,44717,4,fullbody,5,21.0,fullbody-4
2017-06-10,44717,4,fullbody,6,21.0,fullbody-4
2017-06-14,44717,4,fullbody,3,21.0,fullbody-4
2017-06-16,44717,4,fullbody,5,21.0,fullbody-4
2017-06-21,44717,4,fullbody,3,21.0,fullbody-4
2017-06-22,44717,4,fullbody,4,21.0,fullbody-4
2017-06-29,44717,4,fullbody,4,21.0,fullbody-4
2017-07-03,44717,4,fullbody,1,21.0,fullbody-4
2017-07-04,44717,4,fullbody,2,20.666666666666668,fullbody-4
2017-07-05,44717,4,fullbody,3,21.0,fullbody-4
2017-07-07,44717,4,fullbody,5,21.0,fullbody-4
2017-08-02,44717,4,fullbody,3,21.0,fullbody-4
2017-08-03,44717,4,fullbody,4,21.0,fullbody-4
2017-08-05,44717,4,fullbody,6,21.0,fullbody-4
2017-08-26,44717,4,fullbody,6,21.0,fullbody-4
2017-09-01,44717,4,fullbody,5,21.0,fullbody-4
2017-09-02,44717,4,fullbody,6,21.0,fullbody-4
2017-09-04,44717,4,fullbody,1,21.0,fullbody-4
2017-09-05,44717,4,fullbody,2,21.0,fullbody-4
2017-09-06,44717,4,fullbody,3,21.0,fullbody-4
2017-09-09,44717,4,fullbody,6,21.0,fullbody-4
2017-10-01,44717,4,fullbody,7,17.5,fullbody-4
2017-10-04,44717,4,fullbody,3,21.0,fullbody-4
2017-10-05,44717,4,fullbody,4,21.0,fullbody-4
2017-10-25,44717,4,fullbody,3,21.0,fullbody-4
2017-10-26,44717,4,fullbody,4,21.0,fullbody-4
2017-11-01,44717,4,fullbody,3,21.0,fullbody-4
2017-11-02,44717,4,fullbody,4,21.0,fullbody-4
2017-11-03,44717,4,fullbody,5,21.0,fullbody-4
2017-11-05,44717,4,fullbody,7,21.0,fullbody-4
2017-11-06,44717,4,fullbody,1,21.0,fullbody-4
2017-11-07,44717,4,fullbody,2,21.0,fullbody-4
2017-11-23,44717,4,fullbody,4,21.0,fullbody-4
2017-11-24,44717,4,fullbody,5,21.0,fullbody-4
2017-11-28,44717,4,fullbody,2,21.0,fullbody-4
2017-12-01,44717,4,fullbody,5,21.0,fullbody-4
2017-12-03,44717,4,fullbody,7,21.0,fullbody-4
2017-12-04,44717,4,fullbody,1,21.0,fullbody-4
2017-12-05,44717,4,fullbody,2,21.0,fullbody-4
2017-12-06,44717,4,fullbody,3,21.0,fullbody-4
2017-12-19,44717,4,fullbody,2,21.0,fullbody-4
2017-12-25,44717,4,fullbody,1,21.0,fullbody-4
2018-01-01,44717,4,fullbody,1,21.0,fullbody-4
2018-01-02,44717,4,fullbody,2,21.0,fullbody-4
2018-01-03,44717,4,fullbody,3,21.0,fullbody-4
2018-01-04,44717,4,fullbody,4,21.0,fullbody-4
2018-01-05,44717,4,fullbody,5,22.0,fullbody-4
2018-01-06,44717,4,fullbody,6,21.0,fullbody-4
2018-01-07,44717,4,fullbody,7,21.0,fullbody-4
2018-01-08,44717,4,fullbody,1,21.0,fullbody-4
2018-01-10,44717,4,fullbody,3,21.0,fullbody-4
2018-01-15,44717,4,fullbody,1,21.0,fullbody-4
2018-01-20,44717,4,fullbody,6,8.0,fullbody-4
2018-02-01,44717,4,fullbody,4,21.0,fullbody-4
2018-02-02,44717,4,fullbody,5,21.0,fullbody-4
2018-02-03,44717,4,fullbody,6,21.0,fullbody-4
2018-02-07,44717,4,fullbody,3,21.0,fullbody-4
2018-02-10,44717,4,fullbody,6,14.5,fullbody-4
2018-02-15,44717,4,fullbody,4,21.0,fullbody-4
2018-02-16,44717,4,fullbody,4,21.0,fullbody-4
2018-02-17,44717,4,fullbody,6,21.0,fullbody-4
2018-02-19,44717,4,fullbody,1,21.0,fullbody-4
2018-02-20,44717,4,fullbody,2,21.0,fullbody-4
2018-02-21,44717,4,fullbody,2,21.0,fullbody-4
2018-02-24,44717,4,fullbody,6,0.0,fullbody-4
2018-03-01,44717,4,fullbody,4,21.0,fullbody-4
2018-03-02,44717,4,fullbody,5,21.0,fullbody-4
2018-03-03,44717,4,fullbody,6,21.0,fullbody-4
2018-03-04,44717,4,fullbody,7,21.0,fullbody-4
2018-03-05,44717,4,fullbody,1,21.0,fullbody-4
2018-03-06,44717,4,fullbody,2,21.0,fullbody-4
2018-03-07,44717,4,fullbody,3,21.0,fullbody-4
2018-03-13,44717,4,fullbody,2,21.0,fullbody-4
2018-03-14,44717,4,fullbody,3,21.0,fullbody-4
2018-03-17,44717,4,fullbody,6,21.0,fullbody-4
2018-04-01,44717,4,fullbody,7,21.0,fullbody-4
2018-04-05,44717,4,fullbody,4,21.0,fullbody-4
2018-04-06,44717,4,fullbody,5,21.0,fullbody-4
2018-04-08,44717,4,fullbody,7,0.0,fullbody-4
2018-05-01,44717,4,fullbody,2,21.0,fullbody-4
2018-05-02,44717,4,fullbody,3,21.0,fullbody-4
2018-05-03,44717,4,fullbody,4,21.0,fullbody-4
2018-05-05,44717,4,fullbody,6,21.0,fullbody-4
2018-05-07,44717,4,fullbody,1,21.0,fullbody-4
2018-05-08,44717,4,fullbody,2,21.0,fullbody-4
2018-05-15,44717,4,fullbody,2,0.0,fullbody-4
2018-05-19,44717,4,fullbody,6,21.0,fullbody-4
2018-05-23,44717,4,fullbody,3,21.0,fullbody-4
2018-05-25,44717,4,fullbody,5,21.0,fullbody-4
2018-05-28,44717,4,fullbody,1,21.0,fullbody-4
2018-06-02,44717,4,fullbody,6,21.0,fullbody-4
2018-06-03,44717,4,fullbody,7,21.0,fullbody-4
2018-06-04,44717,4,fullbody,1,21.0,fullbody-4
2018-06-05,44717,4,fullbody,2,21.0,fullbody-4
2018-06-06,44717,4,fullbody,3,15.75,fullbody-4
2018-06-07,44717,4,fullbody,4,21.0,fullbody-4
2018-06-08,44717,4,fullbody,5,21.0,fullbody-4
2018-06-11,44717,4,fullbody,1,21.0,fullbody-4
2018-06-22,44717,4,fullbody,5,21.0,fullbody-4
2018-06-24,44717,4,fullbody,4,21.0,fullbody-4
2018-06-29,44717,4,fullbody,5,21.0,fullbody-4
2018-07-04,44717,4,fullbody,3,21.0,fullbody-4
2018-07-05,44717,4,fullbody,4,21.0,fullbody-4
2018-07-06,44717,4,fullbody,5,21.0,fullbody-4
2018-07-07,44717,4,fullbody,6,21.0,fullbody-4
2018-07-10,44717,4,fullbody,2,21.0,fullbody-4
2018-07-22,44717,4,fullbody,7,0.0,fullbody-4
2018-08-01,44717,4,fullbody,3,21.0,fullbody-4
2018-08-02,44717,4,fullbody,4,21.0,fullbody-4
2018-08-03,44717,4,fullbody,5,21.0,fullbody-4
2018-08-04,44717,4,fullbody,6,21.0,fullbody-4
2018-08-05,44717,4,fullbody,7,21.0,fullbody-4
2018-08-06,44717,4,fullbody,1,21.0,fullbody-4
2018-08-07,44717,4,fullbody,2,21.0,fullbody-4
2018-08-16,44717,4,fullbody,4,21.0,fullbody-4
2018-09-01,44717,4,fullbody,6,21.0,fullbody-4
2018-09-02,44717,4,fullbody,7,21.0,fullbody-4
2018-09-03,44717,4,fullbody,1,21.0,fullbody-4
2018-09-05,44717,4,fullbody,3,21.0,fullbody-4
2018-09-06,44717,4,fullbody,4,21.0,fullbody-4
2018-09-07,44717,4,fullbody,5,21.0,fullbody-4
2018-09-19,44717,4,fullbody,3,21.0,fullbody-4
2018-10-01,44717,4,fullbody,1,21.0,fullbody-4
2018-10-06,44717,4,fullbody,6,21.0,fullbody-4
2018-10-07,44717,4,fullbody,7,21.0,fullbody-4
2018-10-12,44717,4,fullbody,5,21.0,fullbody-4
2018-10-24,533904,4,fullbody,3,21.0,fullbody-4
2018-10-29,533904,4,fullbody,1,10.875,fullbody-4
2018-10-30,533904,4,fullbody,2,14.4,fullbody-4
2018-10-31,533904,4,fullbody,3,12.5,fullbody-4
2018-11-01,533904,4,fullbody,4,15.666666666666666,fullbody-4
2018-11-02,44717,4,fullbody,5,17.3,fullbody-4
2018-11-03,533904,4,fullbody,6,17.8,fullbody-4
2018-11-04,533904,4,fullbody,7,17.5,fullbody-4
2018-11-05,533904,4,fullbody,1,16.6,fullbody-4
2018-11-06,533904,4,fullbody,2,18.625,fullbody-4
2018-11-07,533904,4,fullbody,3,19.666666666666668,fullbody-4
2018-11-08,533904,4,fullbody,4,18.666666666666668,fullbody-4
2018-11-09,533904,4,fullbody,5,20.333333333333332,fullbody-4
2018-11-10,533904,4,fullbody,6,19.25,fullbody-4
2018-11-11,533904,4,fullbody,7,20.0,fullbody-4
2018-11-12,533904,4,fullbody,1,21.0,fullbody-4
2018-11-13,44717,4,fullbody,2,21.0,fullbody-4
2018-11-14,533904,4,fullbody,2,21.0,fullbody-4
2018-11-15,533904,4,fullbody,3,21.0,fullbody-4
2018-11-16,533904,4,fullbody,3,21.0,fullbody-4
2018-11-17,44717,4,fullbody,6,0.0,fullbody-4
2018-11-18,44717,4,fullbody,7,0.0,fullbody-4
2018-11-19,533904,4,fullbody,1,21.0,fullbody-4
2018-11-20,533904,4,fullbody,2,0.0,fullbody-4
2018-11-21,44717,4,fullbody,3,14.0,fullbody-4
2018-11-22,44717,4,fullbody,4,21.0,fullbody-4
2018-11-23,533904,4,fullbody,5,0.0,fullbody-4
2018-11-24,44717,4,fullbody,6,0.0,fullbody-4
2018-11-27,533904,4,fullbody,2,21.0,fullbody-4
2018-11-29,533904,4,fullbody,4,21.0,fullbody-4
2018-12-01,533904,4,fullbody,6,15.75,fullbody-4
2018-12-02,533904,4,fullbody,7,21.0,fullbody-4
2018-12-03,533904,4,fullbody,1,21.0,fullbody-4
2018-12-04,533904,4,fullbody,1,21.0,fullbody-4
2018-12-05,44717,4,fullbody,3,21.0,fullbody-4
2018-12-06,44717,4,fullbody,4,21.0,fullbody-4
2018-12-07,533904,4,fullbody,4,21.0,fullbody-4
2018-12-08,533904,4,fullbody,6,21.0,fullbody-4
2018-12-09,44717,4,fullbody,7,21.0,fullbody-4
2018-12-12,44717,4,fullbody,3,21.0,fullbody-4
2018-12-14,533904,4,fullbody,5,21.0,fullbody-4
2018-12-18,44717,4,fullbody,2,21.0,fullbody-4
2018-12-19,44717,4,fullbody,3,21.0,fullbody-4
