classid,classname
261,fullbody
274,nan
252,nan
275,nan
253,nan
255,nan
254,nan
276,nan
256,nan
277,nan
257,nan
263,nan
279,nan
278,nan
258,nan
280,nan
264,nan
331,nan
268,fullbody
284,fullbody
281,nan
262,fullbody
265,nan
282,nan
266,nan
283,nan
267,nan
294,nan
285,nan
286,nan
290,nan
291,nan
292,nan
293,nan
287,nan
288,nan
289,nan
297,nan
295,nan
352,nan
298,nan
299,nan
316,fullbody
329,nan
319,nan
330,nan
320,nan
300,nan
349,nan
332,nan
317,fullbody
301,nan
321,nan
322,nan
334,nan
333,fullbody
302,nan
323,nan
303,nan
336,nan
338,nan
318,fullbody
304,nan
324,nan
351,nan
305,nan
350,nan
325,nan
340,nan
306,nan
326,nan
327,nan
307,nan
308,nan
337,nan
311,nan
309,nan
328,nan
339,nan
312,nan
341,nan
348,fullbody
310,nan
342,nan
313,nan
335,fullbody
343,nan
314,nan
344,nan
345,nan
346,nan
315,nan
347,nan
355,nan
353,nan
357,nan
354,nan
365,fullbody
360,nan
363,fullbody
361,fullbody
358,nan
359,nan
362,fullbody
364,fullbody
366,nan
367,nan
387,nan
368,fullbody
403,nan
369,nan
388,nan
404,nan
373,fullbody
370,nan
405,nan
429,nan
389,nan
371,nan
390,fullbody
391,nan
406,nan
407,nan
372,nan
392,nan
393,nan
408,nan
374,fullbody
375,nan
394,nan
409,nan
376,nan
395,nan
379,fullbody
410,fullbody
380,fullbody
411,fullbody
396,nan
378,nan
381,nan
412,nan
413,nan
424,nan
382,nan
398,nan
414,fullbody
383,fullbody
399,fullbody
384,nan
415,nan
400,nan
401,nan
416,nan
385,nan
436,fullbody
430,nan
422,nan
386,nan
432,fullbody
402,nan
425,nan
426,nan
435,nan
437,fullbody
439,nan
433,fullbody
418,nan
421,nan
419,nan
420,nan
431,nan
427,nan
428,nan
461,nan
434,fullbody
460,nan
438,fullbody
462,training
377,nan
397,nan
441,nan
440,nan
914,fullbody
915,nan
916,nan
917,nan
918,nan
919,nan
920,fullbody
442,nan
443,nan
444,nan
921,fullbody
445,armsabs
446,nan
447,nan
449,nan
450,nan
451,armsabs
448,nan
634,nan
452,nan
453,nan
454,nan
455,nan
456,nan
458,nan
457,armsabs
459,nan
481,nan
584,nan
535,nan
482,nan
495,nan
536,nan
585,nan
496,nan
586,nan
537,nan
497,nan
571,nan
587,nan
588,fullbody
553,fullbody
538,fullbody
539,nan
499,nan
589,nan
590,nan
635,armsabs
540,nan
500,nan
604,nan
591,nan
541,nan
501,nan
502,nan
474,nan
605,nan
542,nan
503,fullbody
592,nan
543,nan
504,nan
485,nan
544,nan
545,nan
593,nan
505,nan
616,nan
506,nan
546,nan
594,nan
507,nan
922,nan
508,nan
595,nan
509,nan
527,nan
923,fullbody
516,nan
924,nan
510,nan
596,nan
547,nan
598,nan
636,nan
597,nan
511,nan
548,nan
599,nan
512,fullbody
513,nan
600,nan
549,nan
551,fullbody
550,fullbody
601,nan
602,fullbody
514,nan
554,nan
464,nan
555,nan
515,nan
465,nan
466,nan
556,nan
557,nan
467,nan
558,nan
517,nan
518,nan
468,nan
559,nan
469,nan
606,armsabs
637,nan
560,nan
519,nan
561,nan
470,nan
520,nan
562,nan
471,nan
472,nan
521,nan
473,fullbody
563,nan
522,nan
564,nan
650,nan
523,nan
565,nan
475,nan
476,nan
552,fullbody
524,nan
566,nan
478,nan
479,nan
525,fullbody
617,nan
567,nan
526,nan
480,nan
568,nan
569,nan
483,nan
570,nan
484,nan
925,nan
926,nan
572,nan
573,fullbody
528,nan
607,nan
486,nan
574,nan
638,armsabs
927,nan
575,nan
529,nan
487,nan
576,nan
488,nan
530,nan
577,fullbody
489,nan
490,nan
578,nan
531,nan
579,nan
532,nan
580,nan
581,nan
491,nan
618,armsabs
533,nan
582,nan
492,nan
583,nan
494,nan
534,nan
493,nan
651,nan
639,nan
608,nan
640,nan
619,nan
928,nan
620,nan
610,nan
641,nan
621,armsabs
895,fullbody
609,nan
642,nan
622,nan
887,nan
901,nan
913,fullbody
894,nan
902,nan
903,nan
905,nan
906,nan
908,nan
623,nan
907,nan
904,nan
643,armsabs
611,nan
627,armsabs
644,armsabs
909,nan
896,nan
898,nan
910,nan
911,fullbody
628,nan
645,nan
612,nan
912,nan
897,fullbody
646,nan
629,nan
613,armsabs
899,nan
900,nan
614,nan
624,armsabs
647,nan
630,nan
625,nan
631,armsabs
929,nan
648,armsabs
632,nan
615,nan
649,nan
626,nan
603,nan
633,nan
788,fullbody
685,fullbody
654,fullbody
676,fullbody
697,fullbody
804,fullbody
666,fullbody
859,fullbody
796,fullbody
865,fullbody
677,fullbody
736,fullbody
760,fullbody
752,fullbody
698,fullbody
655,fullbody
813,fullbody
789,fullbody
726,fullbody
777,fullbody
743,fullbody
667,fullbody
707,fullbody
668,fullbody
790,fullbody
778,fullbody
686,fullbody
727,fullbody
656,fullbody
761,fullbody
744,fullbody
737,fullbody
699,fullbody
797,fullbody
753,fullbody
814,fullbody
805,fullbody
866,fullbody
717,fullbody
708,fullbody
657,fullbody
728,fullbody
745,fullbody
806,fullbody
738,fullbody
687,fullbody
669,fullbody
791,fullbody
754,fullbody
762,fullbody
798,fullbody
815,fullbody
700,fullbody
779,fullbody
774,fullbody
820,fullbody
709,fullbody
718,fullbody
769,fullbody
828,fullbody
763,fullbody
658,fullbody
701,fullbody
729,fullbody
678,fullbody
816,fullbody
780,fullbody
755,fullbody
817,fullbody
775,fullbody
857,fullbody
821,fullbody
829,fullbody
719,fullbody
770,fullbody
781,fullbody
799,fullbody
670,fullbody
771,fullbody
720,fullbody
822,fullbody
710,fullbody
830,fullbody
776,fullbody
772,fullbody
831,fullbody
721,fullbody
842,nan
823,fullbody
711,fullbody
688,fullbody
792,fullbody
746,fullbody
764,fullbody
818,fullbody
739,fullbody
807,fullbody
782,fullbody
659,fullbody
702,fullbody
722,fullbody
832,fullbody
713,fullbody
843,fullbody
773,fullbody
824,fullbody
825,fullbody
714,fullbody
833,fullbody
723,fullbody
730,fullbody
691,fullbody
765,fullbody
800,fullbody
747,fullbody
690,fullbody
679,fullbody
689,fullbody
793,fullbody
703,fullbody
808,fullbody
826,fullbody
855,fullbody
724,fullbody
834,fullbody
715,fullbody
748,fullbody
766,fullbody
680,fullbody
661,fullbody
801,fullbody
783,fullbody
671,fullbody
704,fullbody
731,fullbody
692,fullbody
716,fullbody
827,fullbody
835,fullbody
856,fullbody
725,fullbody
767,fullbody
732,fullbody
705,fullbody
784,fullbody
802,fullbody
756,fullbody
672,fullbody
693,fullbody
681,fullbody
749,fullbody
740,fullbody
809,fullbody
662,fullbody
864,fullbody
768,fullbody
741,fullbody
694,fullbody
863,fullbody
750,fullbody
682,fullbody
706,fullbody
757,fullbody
810,fullbody
836,fullbody
854,armsabs
819,fullbody
785,fullbody
733,fullbody
663,fullbody
811,fullbody
674,fullbody
664,fullbody
758,fullbody
683,fullbody
695,fullbody
850,armsabs
786,fullbody
742,fullbody
734,fullbody
794,fullbody
751,fullbody
787,fullbody
759,fullbody
735,fullbody
684,fullbody
803,fullbody
696,fullbody
665,fullbody
795,fullbody
876,nan
812,fullbody
675,fullbody
931,fullbody
930,fullbody
837,nan
937,fullbody
838,armsabs
839,fullbody
888,fullbody
889,fullbody
890,fullbody
891,fullbody
938,fullbody
840,armsabs
932,fullbody
858,fullbody
861,armsabs
875,armsabs
862,fullbody
892,fullbody
893,fullbody
885,fullbody
886,fullbody
867,fullbody
868,fullbody
841,armsabs
933,fullbody
934,fullbody
935,fullbody
877,nan
939,fullbody
844,nan
851,nan
878,armsabs
869,fullbody
870,fullbody
936,fullbody
860,armsabs
879,armsabs
845,nan
942,fullbody
943,fullbody
940,fullbody
846,armsabs
852,armsabs
880,nan
871,fullbody
872,fullbody
881,nan
847,armsabs
944,fullbody
945,fullbody
853,nan
941,fullbody
1213,nan
1220,fullbody
848,nan
882,armsabs
1214,nan
1221,fullbody
873,fullbody
874,fullbody
1215,nan
1222,fullbody
1208,fullbody
884,armsabs
883,fullbody
849,nan
1199,fullbody
1052,fullbody
1144,fullbody
1053,fullbody
946,fullbody
947,fullbody
1054,fullbody
1145,fullbody
948,fullbody
1055,fullbody
1146,fullbody
1056,fullbody
1147,fullbody
1148,fullbody
1149,fullbody
1150,fullbody
949,fullbody
1057,fullbody
1058,nan
1151,fullbody
950,fullbody
1152,fullbody
951,armsabs
1066,fullbody
953,fullbody
1067,fullbody
1153,fullbody
1068,fullbody
1154,fullbody
954,fullbody
1155,fullbody
1069,fullbody
1156,fullbody
1079,fullbody
1080,fullbody
1157,fullbody
959,fullbody
1081,fullbody
964,fullbody
1158,fullbody
960,fullbody
1082,fullbody
961,fullbody
1159,fullbody
962,fullbody
1083,fullbody
1160,fullbody
1084,fullbody
1161,fullbody
1211,fullbody
1085,fullbody
1086,fullbody
973,fullbody
1162,fullbody
1166,armsabs
1087,fullbody
974,fullbody
1163,fullbody
1089,fullbody
1164,fullbody
1088,fullbody
975,fullbody
1090,fullbody
976,fullbody
1165,fullbody
1091,fullbody
977,fullbody
1092,fullbody
1171,fullbody
1093,fullbody
1173,fullbody
978,fullbody
1172,fullbody
979,fullbody
1094,fullbody
1174,fullbody
1103,fullbody
1175,fullbody
1177,fullbody
1095,fullbody
980,fullbody
1096,fullbody
1176,fullbody
981,fullbody
1097,fullbody
1178,fullbody
982,fullbody
1098,fullbody
1099,fullbody
983,fullbody
1179,fullbody
1180,fullbody
984,fullbody
1100,fullbody
1101,fullbody
1102,fullbody
990,fullbody
1181,fullbody
1104,fullbody
1182,fullbody
991,fullbody
1105,fullbody
992,fullbody
1183,fullbody
1184,fullbody
1106,fullbody
993,fullbody
1107,fullbody
1185,fullbody
994,fullbody
1108,fullbody
1216,nan
1202,fullbody
1189,fullbody
1224,nan
1219,fullbody
1109,fullbody
1110,fullbody
1111,fullbody
1112,fullbody
1190,fullbody
995,fullbody
1191,fullbody
996,fullbody
1113,fullbody
997,fullbody
1209,fullbody
1192,fullbody
1114,fullbody
1115,fullbody
1193,fullbody
998,fullbody
999,fullbody
1194,fullbody
1116,fullbody
1117,fullbody
1119,fullbody
1196,fullbody
1000,fullbody
1197,fullbody
1001,fullbody
1118,fullbody
1223,fullbody
1217,nan
1120,fullbody
1025,fullbody
652,nan
1026,fullbody
1002,fullbody
1121,fullbody
1003,fullbody
1027,fullbody
1122,fullbody
1123,fullbody
1028,fullbody
1004,fullbody
1006,fullbody
1124,fullbody
1005,fullbody
1125,fullbody
1029,fullbody
1227,fullbody
1007,fullbody
1030,fullbody
1126,fullbody
1008,fullbody
1131,nan
1031,fullbody
1009,armsabs
1043,fullbody
1127,fullbody
1011,fullbody
1032,fullbody
1033,fullbody
1010,armsabs
1128,fullbody
1210,fullbody
1012,fullbody
1034,fullbody
1129,fullbody
1130,fullbody
1013,fullbody
1035,fullbody
1036,fullbody
1135,fullbody
1037,fullbody
1017,fullbody
1018,fullbody
1136,fullbody
1038,fullbody
1019,fullbody
1137,fullbody
1039,fullbody
1040,fullbody
1020,fullbody
1138,fullbody
1041,fullbody
1021,fullbody
1139,fullbody
1042,fullbody
1140,fullbody
1022,fullbody
1044,armsabs
1141,fullbody
1200,fullbody
1023,fullbody
1142,fullbody
1024,fullbody
1050,fullbody
1143,fullbody
1051,fullbody
1064,fullbody
1065,fullbody
1059,armsabs
952,nan
1070,fullbody
1071,fullbody
963,fullbody
965,fullbody
966,fullbody
1225,nan
1212,fullbody
1167,nan
1203,fullbody
986,fullbody
985,fullbody
987,fullbody
988,fullbody
989,fullbody
1186,fullbody
1187,fullbody
1188,fullbody
1226,nan
1218,fullbody
1195,fullbody
1242,fullbody
1232,fullbody
1207,fullbody
1237,nan
1132,armsabs
1014,nan
1204,fullbody
1047,fullbody
1228,fullbody
1045,nan
955,armsabs
1072,fullbody
956,fullbody
1073,fullbody
1060,nan
967,fullbody
968,fullbody
1238,nan
1631,fullbody
1168,nan
1553,fullbody
1233,fullbody
1239,nan
1698,fullbody
1704,fullbody
1701,fullbody
1240,nan
1133,nan
1015,armsabs
1696,fullbody
1198,fullbody
1205,fullbody
1048,fullbody
1229,fullbody
1061,armsabs
1062,armsabs
957,nan
1201,fullbody
1075,fullbody
1076,fullbody
969,fullbody
970,fullbody
1707,fullbody
1169,armsabs
1241,nan
1552,fullbody
1234,fullbody
1708,fullbody
1700,nan
1709,fullbody
1703,fullbody
1702,fullbody
1235,fullbody
1016,nan
1134,armsabs
1236,fullbody
1721,fullbody
1699,nan
1206,fullbody
1049,fullbody
1230,fullbody
1046,nan
1719,nan
958,armsabs
1077,fullbody
1063,nan
1078,fullbody
971,fullbody
972,fullbody
1710,fullbody
1170,nan
1711,fullbody
1231,fullbody
1722,fullbody
1658,fullbody
1680,fullbody
1675,fullbody
1633,fullbody
1663,fullbody
1653,fullbody
1528,fullbody
1634,fullbody
1664,fullbody
1607,fullbody
1654,fullbody
1616,fullbody
1659,fullbody
1681,fullbody
1676,fullbody
1529,fullbody
1608,fullbody
1684,fullbody
1530,fullbody
1596,fullbody
1639,fullbody
1685,fullbody
1597,fullbody
1640,fullbody
1594,fullbody
1626,fullbody
1643,fullbody
1598,fullbody
1595,fullbody
1686,fullbody
1641,fullbody
1644,fullbody
1687,fullbody
1645,fullbody
1642,fullbody
1646,fullbody
1610,fullbody
1627,fullbody
1601,fullbody
1635,fullbody
1647,fullbody
1599,fullbody
1617,fullbody
1636,fullbody
1712,fullbody
1600,fullbody
1648,fullbody
1612,fullbody
1661,fullbody
1682,fullbody
1628,fullbody
1637,fullbody
1672,fullbody
1655,fullbody
1677,fullbody
1683,fullbody
1660,fullbody
1625,fullbody
1656,fullbody
1638,fullbody
1673,fullbody
1678,fullbody
1611,fullbody
1657,fullbody
1679,fullbody
1629,fullbody
1632,fullbody
1662,fullbody
1613,fullbody
1674,fullbody
1630,fullbody
1614,fullbody
1548,fullbody
1615,fullbody
1536,fullbody
1688,fullbody
1537,fullbody
1593,fullbody
1689,fullbody
1538,fullbody
1539,fullbody
1690,fullbody
1540,fullbody
1691,fullbody
1541,fullbody
1713,fullbody
1542,fullbody
1516,fullbody
1543,fullbody
1544,fullbody
1715,fullbody
1714,fullbody
1256,fullbody
1264,fullbody
1587,fullbody
1257,fullbody
1575,fullbody
1588,fullbody
1248,fullbody
1576,fullbody
1549,fullbody
1258,fullbody
1249,fullbody
1265,fullbody
1589,fullbody
1577,fullbody
1609,fullbody
1584,fullbody
1259,fullbody
1243,fullbody
1580,fullbody
1266,fullbody
1260,fullbody
1590,fullbody
1244,fullbody
1578,fullbody
1581,fullbody
1585,fullbody
1591,fullbody
1267,fullbody
1261,fullbody
1582,fullbody
1565,nan
1252,fullbody
1245,fullbody
1253,fullbody
1586,fullbody
1573,fullbody
1254,fullbody
1262,fullbody
1246,fullbody
1269,fullbody
1592,fullbody
1263,fullbody
1574,fullbody
1247,fullbody
1583,fullbody
1255,fullbody
1579,fullbody
1268,fullbody
1250,fullbody
1723,nan
1251,fullbody
1720,fullbody
1546,armsabs
1618,nan
1733,fullbody
1724,nan
1743,fullbody
1665,nan
1566,armsabs
1705,fullbody
1706,fullbody
1545,nan
1519,fullbody
1520,fullbody
1521,fullbody
1517,fullbody
1522,fullbody
1518,fullbody
1725,nan
1523,fullbody
1524,fullbody
1525,fullbody
1526,fullbody
1619,armsabs
1527,fullbody
1666,armsabs
1716,fullbody
1531,fullbody
1532,fullbody
1533,fullbody
1534,fullbody
1535,fullbody
1726,nan
1734,fullbody
1736,fullbody
1360,fullbody
1426,fullbody
1428,fullbody
1277,fullbody
1280,fullbody
1278,fullbody
1430,fullbody
1361,fullbody
1281,fullbody
1362,fullbody
1432,fullbody
1434,fullbody
1359,fullbody
1279,fullbody
1358,fullbody
1438,fullbody
1363,fullbody
1439,fullbody
1416,fullbody
1284,fullbody
1353,fullbody
1420,fullbody
1365,fullbody
1274,fullbody
1273,fullbody
1354,fullbody
1418,fullbody
1283,fullbody
1272,fullbody
1355,fullbody
1282,fullbody
1364,fullbody
1436,fullbody
1441,fullbody
1366,fullbody
1285,fullbody
1370,fullbody
1447,fullbody
1289,fullbody
1451,fullbody
1443,fullbody
1371,fullbody
1288,fullbody
1449,fullbody
1445,fullbody
1287,fullbody
1286,fullbody
1368,fullbody
1290,fullbody
1367,fullbody
1369,fullbody
1373,fullbody
1454,fullbody
1372,fullbody
1453,fullbody
1292,fullbody
1291,fullbody
1296,fullbody
1374,fullbody
1455,fullbody
1297,fullbody
1377,fullbody
1459,fullbody
1295,fullbody
1378,fullbody
1456,fullbody
1294,fullbody
1375,fullbody
1293,fullbody
1458,fullbody
1376,fullbody
1457,fullbody
1379,fullbody
1298,fullbody
1356,fullbody
1460,fullbody
1275,fullbody
1422,fullbody
1381,fullbody
1380,fullbody
1461,fullbody
1462,fullbody
1300,fullbody
1299,fullbody
1301,fullbody
1385,fullbody
1351,nan
1270,nan
1384,fullbody
1352,nan
1464,fullbody
1304,fullbody
1382,fullbody
1412,nan
1303,fullbody
1383,fullbody
1465,fullbody
1463,fullbody
1414,nan
1466,fullbody
1271,nan
1302,fullbody
1468,fullbody
1306,fullbody
1467,fullbody
1387,fullbody
1386,fullbody
1305,fullbody
1308,fullbody
1470,fullbody
1469,fullbody
1307,fullbody
1389,fullbody
1388,fullbody
1507,fullbody
1345,fullbody
1506,fullbody
1442,fullbody
1444,fullbody
1440,fullbody
1508,fullbody
1346,fullbody
1344,fullbody
1471,fullbody
1310,fullbody
1737,fullbody
1472,fullbody
1309,fullbody
1390,fullbody
1391,fullbody
1435,fullbody
1504,fullbody
1433,fullbody
1341,fullbody
1503,fullbody
1342,fullbody
1738,fullbody
1347,fullbody
1446,fullbody
1509,fullbody
1735,fullbody
1350,fullbody
1349,fullbody
1450,fullbody
1348,fullbody
1511,fullbody
1452,fullbody
1510,fullbody
1512,fullbody
1448,fullbody
1473,fullbody
1474,fullbody
1312,fullbody
1393,fullbody
1311,fullbody
1392,fullbody
1478,fullbody
1397,fullbody
1399,fullbody
1479,fullbody
1317,fullbody
1429,armsabs
1318,fullbody
1315,fullbody
1339,armsabs
1501,armsabs
1316,fullbody
1475,fullbody
1396,fullbody
1313,fullbody
1395,fullbody
1476,fullbody
1427,armsabs
1314,fullbody
1480,fullbody
1477,fullbody
1500,armsabs
1394,fullbody
1338,armsabs
1398,fullbody
1320,fullbody
1400,fullbody
1401,fullbody
1482,fullbody
1319,fullbody
1481,fullbody
1485,fullbody
1323,fullbody
1403,fullbody
1321,fullbody
1404,fullbody
1406,fullbody
1483,fullbody
1487,fullbody
1405,fullbody
1322,fullbody
1484,fullbody
1402,fullbody
1324,fullbody
1325,fullbody
1486,fullbody
1340,armsabs
1717,fullbody
1490,fullbody
1357,fullbody
1491,fullbody
1424,fullbody
1326,fullbody
1489,fullbody
1276,fullbody
1328,fullbody
1409,fullbody
1410,fullbody
1407,fullbody
1408,fullbody
1502,armsabs
1327,fullbody
1431,armsabs
1329,fullbody
1488,fullbody
1493,fullbody
1494,fullbody
1496,fullbody
1417,fullbody
1330,fullbody
1334,fullbody
1492,fullbody
1411,fullbody
1333,fullbody
1419,fullbody
1413,fullbody
1331,fullbody
1495,fullbody
1332,fullbody
1415,fullbody
1425,fullbody
1337,fullbody
1437,fullbody
1336,fullbody
1497,fullbody
1335,fullbody
1505,fullbody
1343,fullbody
1498,fullbody
1421,fullbody
1499,fullbody
1423,fullbody
1513,fullbody
1514,fullbody
1515,fullbody
1747,fullbody
1567,armsabs
1748,fullbody
1620,armsabs
1547,nan
1727,nan
1749,fullbody
1746,fullbody
1568,nan
1667,armsabs
1750,fullbody
1728,nan
1550,armsabs
1751,fullbody
1757,fullbody
1668,nan
1621,nan
1873,fullbody
1874,fullbody
1871,fullbody
1752,fullbody
1729,nan
1739,fullbody
1859,fullbody
1866,fullbody
1740,fullbody
1870,fullbody
1753,nan
1888,fullbody
1569,nan
1877,fullbody
1758,fullbody
1551,armsabs
1622,nan
1879,fullbody
1754,fullbody
1872,fullbody
1755,fullbody
1669,nan
1570,armsabs
1868,fullbody
1554,nan
1894,fullbody
1756,fullbody
1730,nan
1893,nan
1741,fullbody
1623,armsabs
1670,armsabs
1889,fullbody
1745,fullbody
1742,fullbody
1891,fullbody
1892,fullbody
1571,armsabs
1731,nan
1867,nan
1555,fullbody
1624,armsabs
1556,nan
1869,fullbody
1572,nan
1671,armsabs
1602,fullbody
1692,fullbody
1649,fullbody
1603,fullbody
1693,fullbody
1557,fullbody
1558,fullbody
1559,fullbody
1650,fullbody
1694,fullbody
1695,fullbody
1651,fullbody
1604,fullbody
1560,fullbody
1896,fullbody
1652,fullbody
1561,fullbody
1562,fullbody
1563,fullbody
1605,fullbody
1697,fullbody
1606,fullbody
1564,fullbody
1718,fullbody
1897,fullbody
1732,nan
1744,fullbody
1898,fullbody
1799,fullbody
1847,fullbody
1844,fullbody
1800,fullbody
1803,fullbody
1840,fullbody
1899,nan
1833,fullbody
1845,fullbody
1841,fullbody
1834,fullbody
1839,fullbody
1759,fullbody
1760,fullbody
1865,nan
1804,fullbody
1842,fullbody
1835,fullbody
1915,nan
1864,nan
1805,fullbody
1836,fullbody
1843,fullbody
1806,fullbody
1762,fullbody
1846,fullbody
1837,fullbody
1861,nan
1900,fullbody
1832,fullbody
1862,fullbody
1838,fullbody
1802,fullbody
1801,fullbody
1863,nan
1914,nan
1780,fullbody
1761,fullbody
1764,nan
1878,nan
1905,fullbody
1885,fullbody
1880,fullbody
1763,fullbody
1882,fullbody
1781,fullbody
1901,fullbody
1765,armsabs
1902,fullbody
1848,nan
1906,fullbody
1810,fullbody
1809,nan
1875,fullbody
1876,fullbody
1860,nan
1916,fullbody
1919,fullbody
1917,fullbody
1918,fullbody
1883,fullbody
1884,fullbody
1903,fullbody
1904,fullbody
1921,nan
1881,fullbody
1782,nan
1783,fullbody
1922,fullbody
1924,nan
1808,fullbody
1766,armsabs
1767,fullbody
1807,nan
1926,fullbody
1907,fullbody
1785,fullbody
1849,nan
1784,armsabs
1850,fullbody
1923,fullbody
1768,armsabs
1908,fullbody
1851,armsabs
1929,nan
1920,fullbody
1946,fullbody
1913,fullbody
1852,nan
1927,nan
1909,fullbody
1928,nan
1769,armsabs
2142,nan
1925,nan
1812,fullbody
1811,nan
2175,fullbody
2164,fullbody
1930,fullbody
1786,nan
1910,fullbody
1853,armsabs
1787,fullbody
1813,nan
1773,nan
1774,fullbody
1830,fullbody
1771,fullbody
1788,fullbody
1822,fullbody
1789,fullbody
1790,fullbody
1827,fullbody
1823,fullbody
1814,fullbody
1824,fullbody
1825,fullbody
1826,fullbody
1829,fullbody
1828,fullbody
1831,fullbody
1791,fullbody
1815,fullbody
1772,fullbody
1792,fullbody
1816,fullbody
1817,fullbody
1793,fullbody
1911,fullbody
1854,nan
1890,fullbody
1855,nan
1912,fullbody
1886,fullbody
1887,fullbody
1895,fullbody
1856,fullbody
1794,fullbody
1775,fullbody
1818,fullbody
1795,fullbody
1819,fullbody
1796,fullbody
1776,fullbody
1857,fullbody
1858,fullbody
1777,fullbody
1820,fullbody
1797,fullbody
1821,fullbody
1778,fullbody
1779,fullbody
1798,fullbody
2107,fullbody
2093,fullbody
2084,fullbody
2047,fullbody
2108,fullbody
2113,fullbody
2048,fullbody
2046,fullbody
2114,fullbody
1994,fullbody
2085,fullbody
2082,fullbody
2005,fullbody
2006,fullbody
2039,fullbody
1931,fullbody
1939,fullbody
1972,fullbody
1941,fullbody
1940,fullbody
2040,fullbody
1942,fullbody
2083,fullbody
2007,fullbody
1995,fullbody
2109,fullbody
2009,fullbody
1944,fullbody
1960,fullbody
1973,fullbody
2041,fullbody
2098,fullbody
2008,fullbody
2115,fullbody
2110,fullbody
1945,fullbody
1961,fullbody
2100,fullbody
1952,fullbody
1974,fullbody
2099,fullbody
2116,nan
2057,nan
2021,fullbody
2101,fullbody
2034,fullbody
2035,fullbody
2042,fullbody
1933,fullbody
1953,fullbody
2117,fullbody
2010,fullbody
2043,fullbody
2094,fullbody
2111,fullbody
1954,fullbody
1991,fullbody
1999,fullbody
2011,fullbody
1955,fullbody
2095,fullbody
2004,nan
2102,fullbody
2000,fullbody
2036,fullbody
2112,fullbody
1975,fullbody
2044,fullbody
2037,fullbody
2096,fullbody
1956,fullbody
2003,nan
2001,fullbody
2045,fullbody
2038,fullbody
1957,fullbody
2097,fullbody
2002,fullbody
2033,nan
2019,fullbody
2118,fullbody
2119,fullbody
2049,fullbody
2120,fullbody
1976,fullbody
2050,fullbody
2051,fullbody
2052,fullbody
2022,fullbody
2020,fullbody
1977,fullbody
2121,fullbody
2023,fullbody
2122,fullbody
2053,fullbody
2024,fullbody
1978,fullbody
2123,fullbody
2124,fullbody
1979,fullbody
2125,fullbody
1980,fullbody
2054,fullbody
2025,fullbody
2026,fullbody
1981,nan
2055,fullbody
2126,fullbody
2027,fullbody
2028,fullbody
2127,fullbody
2128,fullbody
1982,fullbody
2029,fullbody
1983,fullbody
2056,fullbody
2030,fullbody
1984,fullbody
1985,fullbody
2031,fullbody
2032,fullbody
1986,fullbody
2129,fullbody
2058,fullbody
